period,deaths,word count,buzz,normalized buzz
2003-12,525.0,215,0.0,0.0
2004-6,909.0,974,0.0,0.0
2003-10,516.0,96,0.0,0.0
2004-4,1303.0,295,1.0,0.003389830508474576
2004-3,1004.0,351,1.0,0.002849002849002849
2004-2,663.0,80,0.0,0.0
2004-1,610.0,86,0.0,0.0
2007-4,2565.0,840,3.0,0.0035714285714285713
2007-5,2844.0,172,0.0,0.0
2007-6,2199.0,346,0.0,0.0
2007-7,2694.0,106,0.0,0.0
2004-5,655.0,128,2.0,0.015625
2004-9,1042.0,409,0.0,0.0
2004-8,878.0,183,1.0,0.00546448087431694
2003-11,487.0,130,1.0,0.007692307692307693
2007-8,2481.0,122,0.0,0.0
2007-9,1387.0,1408,8.0,0.005681818181818182
2003-1,3.0,180,0.0,0.0
2003-2,2.0,1275,30.0,0.023529411764705882
2003-3,3977.0,232,0.0,0.0
2003-4,3435.0,139,0.0,0.0
2003-6,598.0,122,0.0,0.0
2003-7,646.0,94,0.0,0.0
2003-8,825.0,174,2.0,0.011494252873563218
2014-8,3333.0,62,0.0,0.0
2014-9,1465.0,158,0.0,0.0
2004-12,1129.0,440,1.0,0.0022727272727272726
2004-11,1676.0,742,13.0,0.01752021563342318
2014-1,1096.0,184,3.0,0.016304347826086956
2014-2,971.0,175,0.0,0.0
2014-3,1028.0,231,0.0,0.0
2014-4,1036.0,237,6.0,0.02531645569620253
2014-5,1098.0,249,8.0,0.0321285140562249
2014-6,4081.0,215,2.0,0.009302325581395349
2014-7,1570.0,332,4.0,0.012048192771084338
2014-12,1201.0,124,0.0,0.0
2014-10,1729.0,135,5.0,0.037037037037037035
2014-11,1427.0,70,0.0,0.0
2011-11,279.0,302,0.0,0.0
2011-10,366.0,164,0.0,0.0
2007-1,3017.0,563,2.0,0.003552397868561279
2007-2,2679.0,175,0.0,0.0
2007-3,2726.0,1376,1.0,0.0007267441860465116
2010-12,218.0,40,0.0,0.0
2010-10,315.0,521,1.0,0.0019193857965451055
2010-11,307.0,80,0.0,0.0
2004-7,834.0,100,0.0,0.0
2009-6,563.0,833,0.0,0.0
2009-7,431.0,455,0.0,0.0
2009-4,589.0,355,6.0,0.016901408450704224
2009-5,428.0,290,0.0,0.0
2009-2,407.0,850,0.0,0.0
2009-3,438.0,1025,7.0,0.006829268292682927
2009-1,372.0,1616,6.0,0.0037128712871287127
2009-8,652.0,4693,4.0,0.0008523332623055614
2009-9,350.0,1115,0.0,0.0
2012-10,290.0,71,0.0,0.0
2012-11,253.0,667,10.0,0.014992503748125937
2012-12,299.0,1091,0.0,0.0
2006-11,3084.0,304,0.0,0.0
2006-10,2996.0,15,0.0,0.0
2006-12,2898.0,255,3.0,0.011764705882352941
2013-9,1306.0,495,2.0,0.00404040404040404
2013-12,1125.0,487,0.0,0.0
2012-1,531.0,7,0.0,0.0
2007-12,996.0,451,1.0,0.0022172949002217295
2007-10,1324.0,1243,0.0,0.0
2007-11,1124.0,7,0.0,0.0
2008-12,586.0,159,0.0,0.0
2008-11,540.0,400,0.0,0.0
2008-10,594.0,164,2.0,0.012195121951219513
2005-10,1311.0,807,1.0,0.0012391573729863693
2005-11,1487.0,45,0.0,0.0
2005-12,1141.0,413,0.0,0.0
2011-1,389.0,2371,0.0,0.0
2011-3,311.0,1562,6.0,0.0038412291933418692
2011-2,254.0,35,0.0,0.0
2011-5,381.0,10,0.0,0.0
2011-4,289.0,115,0.0,0.0
2011-7,308.0,1584,0.0,0.0
2011-6,386.0,283,7.0,0.024734982332155476
2006-1,1546.0,161,3.0,0.018633540372670808
2006-3,1957.0,2,0.0,0.0
2006-2,1577.0,193,0.0,0.0
2006-5,2277.0,184,0.0,0.0
2006-4,1804.0,271,0.0,0.0
2006-7,3298.0,702,1.0,0.0014245014245014246
2006-6,2584.0,573,3.0,0.005235602094240838
2006-9,2565.0,177,0.0,0.0
2006-8,2865.0,122,0.0,0.0
2012-2,356.0,654,0.0,0.0
2012-3,377.0,1175,5.0,0.00425531914893617
2005-8,2352.0,155,0.0,0.0
2005-9,1444.0,272,6.0,0.022058823529411766
2012-6,529.0,44,1.0,0.022727272727272728
2012-7,469.0,1078,15.0,0.013914656771799629
2012-4,392.0,126,0.0,0.0
2012-5,304.0,518,0.0,0.0
2005-2,1297.0,264,0.0,0.0
2005-3,905.0,201,0.0,0.0
2012-8,422.0,131,0.0,0.0
2005-1,1222.0,604,0.0,0.0
2005-6,1347.0,57,0.0,0.0
2005-7,1536.0,196,2.0,0.01020408163265306
2005-4,1145.0,238,0.0,0.0
2005-5,1396.0,184,2.0,0.010869565217391304
2015-9,1421.0,195,0.0,0.0
2015-8,1932.0,96,1.0,0.010416666666666666
2015-5,1254.0,109,0.0,0.0
2015-7,1813.0,407,1.0,0.002457002457002457
2015-1,1449.0,90,0.0,0.0
2015-3,1122.0,172,1.0,0.005813953488372093
2013-4,545.0,79,0.0,0.0
2012-9,400.0,59,0.0,0.0
2015-2,1612.0,271,4.0,0.014760147601476014
2011-9,397.0,153,0.0,0.0
2011-8,401.0,175,0.0,0.0
2008-7,639.0,4,0.0,0.0
2008-6,750.0,1370,2.0,0.00145985401459854
2009-12,478.0,208,2.0,0.009615384615384616
2013-8,1013.0,23,0.0,0.0
2011-12,392.0,1930,0.0,0.0
2013-5,888.0,41,0.0,0.0
2013-11,870.0,259,0.0,0.0
2013-10,1180.0,1271,4.0,0.003147128245476003
2010-4,385.0,717,0.0,0.0
2010-5,387.0,5414,8.0,0.0014776505356483192
2010-6,385.0,70,0.0,0.0
2010-7,488.0,195,0.0,0.0
2010-1,267.0,174,1.0,0.005747126436781609
2010-2,305.0,440,1.0,0.0022727272727272726
2010-3,336.0,252,0.0,0.0
2010-8,520.0,75,0.0,0.0
2010-9,254.0,3186,14.0,0.004394224733207784
2008-3,1667.0,356,0.0,0.0
2008-2,1092.0,559,5.0,0.008944543828264758
2008-1,858.0,281,0.0,0.0
2009-10,441.0,2040,3.0,0.0014705882352941176
2009-11,226.0,59,0.0,0.0
2008-5,914.0,114,0.0,0.0
2008-4,1315.0,73,1.0,0.0136986301369863
2013-7,1145.0,1166,3.0,0.002572898799313894
2013-6,659.0,725,0.0,0.0
2008-9,612.0,241,0.0,0.0
2008-8,704.0,45,0.0,0.0
2013-3,403.0,2,0.0,0.0
2013-2,360.0,119,0.0,0.0
2013-1,357.0,242,0.0,0.0
