Word 1,Word 2,Similarity (0-5),Nonsense (Optional)
رمز,صفر,,
المصمم,مزخرف,,
يستمر,نشر,,
الرابطة,صلة,,
بير,ثور,,
المعهد,إنشاء,,
منشأة,تركيب,,
اليسار,مركز,,
النصوص,المدرسية,,
اسم,مكالمة,,
للاتحاد,يستلزم,,
الاخرى,نقد,,
مسرحية,عمل,,
حكومات,سلطات,,
ورد,صياغة,,
المضاد,معاد,,
سلبية,إيجابية,,
للثقافة,حضارة,,
الرحلات,ريش,,
الطبيعة,سبب,,
الأمامي,جامد,,
جميعا,لا,,
ويقول,حالة,,
الريفي,الحضري,,
قنابل,مرر,,
واجه,يوم,,
درع,شاشة,,
الراديو,نقل,,
هامة,الاستيراد,,
بقية,مزرق,,
غضون,جولة,,
بصورة,أكثر,,
إعداد,حالة,,
مايكل,ميخائيل,,
الحادثة,الأساسية,,
الطبيعي,غريزي,,
ترجمة,أداء,,
بينما,قطعة,,
المنزلية,انجستروم,,
تنقسم,قسمت,,
الإستراتيجية,مخطط,,
رتب,حنون,,
فقط,منصف,,
أخبار,استخبارات,,
أبى,قبول,,
السامية,بارز,,
مثلما,زرنيخ,,
بدولة,قل,,
الشائع,مجرد,,
القريب,ارفع,,
درس,مثال,,
كلاسيكية,فنان,,
اتفق,تعارض,,
الشتاء,مرر,,
الافتراضي,فشل,,
إنشاء,صنع,,
انتهى,ابدأ,,
سور,جرف,,
خسر,دائرة,,
زيتون,فاكهة,,
الرب,سيدة,,
إحياء,تراكم,,
ساوث,حوار,,
جيدا,سوء,,
القرارات,تقرير,,
المعادن,مادة,,
وطني,مجلس,,
حكاية,سرد,,
أضاف,انتظر,,
يمكنها,تأجير,,
سوس,عملة,,
ميزوري,ميسوري,,
تنتقل,أخذ,,
الصوتية,صوت,,
توقف,ابتهاج,,
إمكانية,استحالة,,
الأسبق,استراحة,,
جيدة,سيئة,,
اعتبر,رؤية,,
يرجع,المستحقة,,
أبا,قماش,,
التخلي,تعليم,,
يدعي,انتحل,,
الماضي,مستقبل,,
المواد,معلقة,,
الكل,كليا,,
سوداء,أبيض,,
يأتي,مستعرض,,
هنا,هناك,,
العملية,عالج,,
يلاحظ,تجاهل,,
عرش,توج,,
متكرر,نادر,,
اتفاقيات,حفظ,,
العسكريين,أولا,,
أصل,بداية,,
هامش,الحدود,,
تتغير,بدل,,
أبناء,صبي,,
وضعه,بنسلفانيا,,
اضطراب,أقول,,
مؤسسة,كورب,,
بيغ,القليل,,
الخضر,أخضر,,
بتقديم,عرض,,
مستمر,متقطع,,
المطلب,دوران,,
السحب,تهريج,,
المؤقتة,دائم,,
المسرحيات,لعب,,
سمو,سفالة,,
معناه,وكالة,,
سيرته,مرحبا,,
قرار,تقرير,,
جعل,استراحة,,
السوق,تسويق,,
مرآة,تعكس,,
اقترح,بطلان,,
الجد,عبث,,
اصل,بداية,,
لكن,مجرد,,
اهتمامات,متذكر,,
شغل,فارغة,,
سحاب,تنضيف,,
المعادل,التعادل,,
حقوق,مركز,,
هندسة,تكنولوجيا,,
بأعمال,خامل,,
البيوت,مرر,,
ذروة,تكبد,,
يولد,تؤدي,,
تشير,قرب,,
مجانية,مقيد,,
شديد,النابليون,,
وبخاصة,خصوصا,,
يمثل,الوقوف,,
لَا,ألغى,,
الحاد,مزمن,,
القبول,الرفض,,
نشط,المشاركة,,
ربط,قطع,,
مرتفعة,بارز,,
موجودة,يكون,,
تلعب,ضيق,,
أغاني,صخبا,,
حرب,سلام,,
سول,سيول,,
مدرجة,المسجلين,,
قصور,انجازات,,
وقوف,التحكم,,
القوات,إدفع,,
عقود,دلالة,,
بخلاف,اعجاب,,
شهر,فترة,,
شاطئ,أرض,,
مخصص,جاهز,,
الغنية,ميل,,
مفاتيح,الوهن,,
نشطة,المشاركة,,
بقيت,جولة,,
القطع,فك,,
أمره,مضطرب,,
ضوء,ظلام,,
مجرد,ظالم,,
مماثل,اعجاب,,
الوظيفة,عطل,,
تاريخها,حساب,,
حرض,هدوء,,
المسافة,ابتز,,
سباحة,سائل,,
يظهر,اختفى,,
ومعظم,الأقل,,
ذكية,التحدي,,
ثابت,مجموعة,,
بوابات,غيتس,,
تكرار,كرر,,
وراء,ردفان,,
يكن,غير,,
درب,سحب,,
محل,ساعة,,
التراب,نظيف,,
أوجه,عظم,,
ظهور,اختفاء,,
المنخفض,ارتفاع,,
الزيادة,تغير,,
المتعدد,لوطي,,
الكلاسيكية,موثوق,,
اجتماع,نلتقي,,
دكتور,استراحة,,
النظر,ظرف,,
تدعو,اسم,,
